scenario,0.5min,2.0min,5.0min,10.0min,director
complete_derail_red_riding_hood,,,893,954,832
olaf_arendelle_tour_complete_derailment,39,388,871,883,736
olaf_arendelle_tour_medium_derailment,35,319,894,878,901
olaf_arendelle_tour_no_derailment,40,386,864,820,812
olaf_first_summer_picnic_complete_derailment,44,410,525,559,489
olaf_first_summer_picnic_medium_derailment,44,543,616,621,608
olaf_first_summer_picnic_no_derailment,57,570,520,549,581
olaf_frozen_adventure_traditions_complete_derailment,40,360,254,1087,1081
olaf_frozen_adventure_traditions_medium_derailment,48,404,995,1077,1158
olaf_frozen_adventure_traditions_no_derailment,53,297,961,1054,1017
olaf_lost_lantern_adventure_complete_derailment,40,377,993,1382,1327
olaf_lost_lantern_adventure_medium_derailment,52,374,1014,1038,1367
olaf_lost_lantern_adventure_no_derailment,61,370,1160,1456,1307
olaf_lost_snowflake_complete_derailment,48,439,458,463,475
olaf_lost_snowflake_medium_derailment,69,507,538,488,561
olaf_lost_snowflake_no_derailment,65,396,549,515,616
olaf_makes_anna_smile_complete_derailment,38,327,323,279,283
olaf_makes_anna_smile_medium_derailment,33,327,323,322,290
olaf_makes_anna_smile_no_derailment,35,280,288,269,254
olaf_once_upon_a_snowman_origin_complete_derailment,56,466,975,986,1270
olaf_once_upon_a_snowman_origin_medium_derailment,72,532,1169,1179,1246
olaf_once_upon_a_snowman_origin_no_derailment,67,525,1307,1219,1052
olaf_presents_ocean_adventure_complete_derailment,42,472,989,191,920
olaf_presents_ocean_adventure_medium_derailment,47,389,1103,1079,883
olaf_presents_ocean_adventure_no_derailment,48,471,1132,1218,1089
olaf_retells_red_riding_hood_complete_derailment,56,365,956,941,992
olaf_retells_red_riding_hood_medium_derailment,60,405,958,983,904
olaf_retells_red_riding_hood_no_derailment,53,434,1048,1010,933
olaf_winter_festival_surprise_complete_derailment,43,333,936,1258,1302
olaf_winter_festival_surprise_medium_derailment,37,336,436,1190,1125
olaf_winter_festival_surprise_no_derailment,31,343,861,1164,1169
