scenario,0.5min,2.0min,5.0min,10.0min,director
complete_derail_red_riding_hood,,,111.6,119.2,138.7
olaf_arendelle_tour_complete_derailment,39.0,97.0,124.4,126.1,736.0
olaf_arendelle_tour_medium_derailment,35.0,79.8,127.7,125.4,901.0
olaf_arendelle_tour_no_derailment,40.0,77.2,123.4,117.1,406.0
olaf_first_summer_picnic_complete_derailment,44.0,136.7,131.2,139.8,244.5
olaf_first_summer_picnic_medium_derailment,44.0,135.8,154.0,155.2,608.0
olaf_first_summer_picnic_no_derailment,57.0,142.5,130.0,137.2,581.0
olaf_frozen_adventure_traditions_complete_derailment,40.0,51.4,84.7,120.8,1081.0
olaf_frozen_adventure_traditions_medium_derailment,48.0,57.7,90.5,119.7,1158.0
olaf_frozen_adventure_traditions_no_derailment,53.0,59.4,96.1,117.1,339.0
olaf_lost_lantern_adventure_complete_derailment,40.0,62.8,90.3,138.2,1327.0
olaf_lost_lantern_adventure_medium_derailment,52.0,74.8,92.2,148.3,1367.0
olaf_lost_lantern_adventure_no_derailment,61.0,74.0,105.5,132.4,653.5
olaf_lost_snowflake_complete_derailment,48.0,109.8,114.5,115.8,475.0
olaf_lost_snowflake_medium_derailment,69.0,126.8,134.5,122.0,561.0
olaf_lost_snowflake_no_derailment,65.0,99.0,137.2,128.8,616.0
olaf_makes_anna_smile_complete_derailment,38.0,109.0,107.7,93.0,283.0
olaf_makes_anna_smile_medium_derailment,33.0,109.0,107.7,107.3,290.0
olaf_makes_anna_smile_no_derailment,35.0,70.0,96.0,89.7,254.0
olaf_once_upon_a_snowman_origin_complete_derailment,56.0,116.5,139.3,140.9,1270.0
olaf_once_upon_a_snowman_origin_medium_derailment,72.0,106.4,167.0,168.4,623.0
olaf_once_upon_a_snowman_origin_no_derailment,67.0,105.0,163.4,174.1,526.0
olaf_presents_ocean_adventure_complete_derailment,42.0,78.7,109.9,95.5,920.0
olaf_presents_ocean_adventure_medium_derailment,47.0,77.8,122.6,154.1,883.0
olaf_presents_ocean_adventure_no_derailment,48.0,94.2,125.8,174.0,1089.0
olaf_retells_red_riding_hood_complete_derailment,56.0,73.0,119.5,134.4,165.3
olaf_retells_red_riding_hood_medium_derailment,60.0,81.0,119.8,122.9,150.7
olaf_retells_red_riding_hood_no_derailment,53.0,108.5,131.0,126.2,116.6
olaf_winter_festival_surprise_complete_derailment,43.0,55.5,85.1,125.8,1302.0
olaf_winter_festival_surprise_medium_derailment,37.0,56.0,109.0,119.0,1125.0
olaf_winter_festival_surprise_no_derailment,31.0,57.2,78.3,116.4,1169.0
